Ábelová	Lučenec	985 13	BC
Ábelová - Madačka	Lučenec	985 13	BC
Ábelová - Nedelište	Lučenec	985 13	BC
Abovce	Rimavská Sobota	980 44	BC
Abrahám	Galanta	925 45	TA
Abrahámovce	Bardejov	086 41	PV
Abrahámovce	Kežmarok	059 72	PV
Abrahámovce - Pikovce	Kežmarok	059 72	PV
Abramová	Turčianske Teplice	038 22	ZI
Abramová - Laclavá	Turčianske Teplice	038 22	ZI
Abramová - Polerieka	Turčianske Teplice	038 22	ZI
Abranovce	Prešov	082 52	PV
Adamovské Kochanovce	Trenčín	913 05	TC
Adamovské Kochanovce - Kochanovce	Trenčín	913 05	TC
Adamovské Kochanovce - Malé Bierovce	Trenčín	913 05	TC
Adidovce	Humenné	067 32	PV
Alekšince	Nitra	951 22	NI
Andovce	Nové Zámky	941 23	NI
Andrejová	Bardejov	086 37	PV
Ardanovce	Topoľčany	956 06	NI
Ardovo	Rožňava	049 55	KI
Arnutovce	Spišská Nová Ves	053 13	KI
Báb	Nitra	951 34	NI
Báb - Alexandrov Dvor	Nitra	951 34	NI
Báb - Malý Báb	Nitra	951 34	NI
Báb - Veľký Báb	Nitra	951 34	NI
Babie	Vranov nad Topľou	094 31	PV
Babín	Námestovo	029 52	ZI
Babiná	Zvolen	962 61	BC
Babindol	Nitra	951 53	NI
Babinec	Rimavská Sobota	980 26	BC
Bacúch	Brezno	976 64	BC
Bacúrov	Zvolen	962 61	BC
Báč	Dunajská Streda	930 30	TA
Bačka	Trebišov	076 84	KI
Bačkov	Trebišov	076 61	KI
Bačkovík	Košice-okolie	044 45	KI
Baďan	Banská Štiavnica	969 01	BC
Baďan - Klastava	Banská Štiavnica	969 01	BC
Bádice	Nitra	951 46	NI
Badín	Banská Bystrica	976 32	BC
Báhoň	Pezinok	900 84	BL
Bajany	Michalovce	072 54	KI
Bajč	Komárno	946 54	NI
Bajč - Chrasť	Komárno	946 54	NI
Bajč - Kotelnica	Komárno	946 54	NI
Bajč - Nový Diel	Komárno	946 54	NI
Bajč - Vlkanovo	Komárno	946 54	NI
Bajerov	Prešov	082 41	PV
Bajerovce	Sabinov	082 73	PV
Bajka	Levice	935 51	NI
Bajtava	Nové Zámky	943 65	NI
Baka	Dunajská Streda	930 04	TA
Baláže	Banská Bystrica	976 11	BC
Baldovce	Levoča	053 04	PV
Balog nad Ipľom	Veľký Krtíš	991 11	BC
Baloň	Dunajská Streda	930 08	TA
Baňa	Stropkov	091 01	PV
Baňa Lucia	Košice-okolie	044 25	KI
Banka	Piešťany	921 01	TA
Bánov	Nové Zámky	941 01	NI
Bánovce nad Bebravou	Bánovce nad Bebravou		TC
Bánovce nad Bebravou - Biskupice	Bánovce nad Bebravou	957 01	TC
Bánovce nad Bebravou - Horné Ozorovce	Bánovce nad Bebravou	957 03	TC
Bánovce nad Ondavou	Michalovce	072 04	KI
Bánovce nad Ondavou - Piesky	Michalovce	072 04	KI
Banská Belá	Banská Štiavnica	966 15	BC
Banská Bystrica	Banská Bystrica		BC
Banská Štiavnica	Banská Štiavnica		BC
Banská Štiavnica - Banky	Banská Štiavnica	969 01	BC
Banská Štiavnica - Počúvadlianske Jazero	Banská Štiavnica	969 01	BC
Banská Štiavnica - Sitnianska	Banská Štiavnica	969 01	BC
Banská Štiavnica - Štefultov	Banská Štiavnica	969 01	BC
Banské	Vranov nad Topľou	094 12	PV
Banský Studenec	Banská Štiavnica	969 01	BC
Bara	Trebišov	076 32	KI
Bara - Malá Bara	Trebišov	076 32	KI
Bara - Veľká Bara	Trebišov	076 32	KI
Barca	Rimavská Sobota	982 51	BC
Bardejov	Bardejov	085 01	PV
Bardejov - Bardejovská Nová Ves	Bardejov	085 01	PV
Bardejov - Dlhá Lúka	Bardejov	085 01	PV
Bardejovská Zábava	Bardejov	085 01	PV
Bardejovské Kúpele	Bardejov	086 31	PV
Bardoňovo	Nové Zámky	941 49	NI
Bartošova Lehôtka	Žiar nad Hronom	967 01	BC
Bartošovce	Bardejov	086 42	PV
Baška	Košice-okolie	040 16	KI
Baškovce	Humenné	067 23	PV
Baškovce	Sobrance	073 01	KI
Bašovce	Piešťany	922 01	TA
Batizovce	Poprad	059 35	PV
Bátka	Rimavská Sobota	980 21	BC
Bátorová	Veľký Krtíš	991 26	BC
Bátorove Kosihy	Komárno	946 34	NI
Bátorove Kosihy - Mikulášov Sad	Komárno	946 34	NI
Bátovce	Levice	935 03	NI
Bátovce - Jalakšová	Levice	935 03	NI
Beckov	Nové Mesto n.Váhom	916 38	TC
Beckovská Vieska	Nové Mesto n.Váhom	916 31	TC
Beharovce	Levoča	053 05	PV
Becherov	Bardejov	086 35	PV
Belá	Žilina	013 05	ZI
Belá	Nové Zámky	943 53	NI
Belá - Kubíková	Žilina	013 05	ZI
Belá nad Cirochou	Snina	067 81	PV
Beladice	Zlaté Moravce	951 75	NI
Beladice - Pustý Chotár	Zlaté Moravce	951 75	NI
Belá-Dulice	Martin	038 11	ZI
Belá-Dulice - Dulice	Martin	038 11	ZI
Belejovce	Svidník	089 01	PV
Belek	Nové Zámky	941 48	NI
Belín	Rimavská Sobota	980 01	BC
Belina	Lučenec	986 01	BC
Belince	Topoľčany	956 12	NI
Bellova Ves	Dunajská Streda	930 52	TA
Beloveža	Bardejov	086 14	PV
Beluj	Banská Štiavnica	969 01	BC
Beluša	Púchov	018 61	TC
