Banská Bystrica,BB
Banská Štiavnica,BS
Bardejov,BJ
Bánovce nad Bebravou,BN
Bratislava I,BA
Bratislava II,BA
Bratislava III,BA
Bratislava IV,BA
Bratislava V,BA
Brezno,BR
Bytča,BY
Čadca,CA
Detva,DT
Dolný Kubín,DK
Dunajská Streda,DS
Galanta,GA
Gelnica,GL
Hlohovec,HC
Humenné,HE
Ilava,IL
Kežmarok,KK
Komárno,KN
Košice - okolie,KS
Košice I,KE
Košice II,KE
Košice III,KE
Košice IV,KE
Krupina,KA
Kysucké Nové Mesto,KM
Levice,LV
Levoča,LE
Liptovský Mikuláš,LM
Lučenec,LC
Malacky,MA
Martin,MT
Medzilaborce,ML
Michalovce,MI
Myjava,MY
Námestovo,NO
Nitra,NR
Nové Mesto nad Váhom,NM
Nové Zámky,NZ
Partizánske,PE
Pezinok,PK
Piešťany,PN
Poltár,PT
Poprad,PP
Považská Bystrica,PB
Prešov,PO
Prievidza,PD
Púchov,PU
Revúca,RA
Rimavská Sobota,RS
Rožňava,RV
Ružomberok,RK
Sabinov,SB
Senec,SC
Senica,SE
Skalica,SI
Snina,SV
Sobrance,SO
Spišská Nová Ves,SN
Stará Ľubovňa,SL
Stropkov,SP
Svidník,SK
Šaľa,SA
Topoľčany,TO
Trebišov,TV
Trenčín,TN
Trnava,TT
Turčianske Teplice,TR
Tvrdošín,TS
Veľký Krtíš,VK
Vranov nad Topľou,VT
Zlaté Moravce,ZM
Zvolen,ZV
Žarnovica,ZC
Žiar nad Hronom,ZH
Žilina,ZA
