Banská	976 32	Badín	Badín
Borovicová	976 32	Badín	Badín
Družstevná	976 32	Badín	Badín
Hliny	976 32	Badín	Badín
Krčméryho	976 32	Badín	Badín
Kriedovnica	974 05	Banská Bystrica 5	Badín
L. Svobodu	976 32	Badín	Badín
Laurínska	976 32	Badín	Badín
Nová	976 32	Badín	Badín
Osloboditeľov	976 32	Badín	Badín
Pod Hrádkom	976 32	Badín	Badín
Pod vŕškom	976 32	Badín	Badín
Sládkovičova	976 32	Badín	Badín
SNP	976 32	Badín	Badín
Tajovského	976 32	Badín	Badín
Záhradná	976 32	Badín	Badín
5. apríla	957 01	Bánovce nad Bebravou 1	Bánovce nad Bebravou
9. mája	957 01	Bánovce nad Bebravou 1	Bánovce nad Bebravou
Alexandra Dubčeka	957 04	Bánovce nad Bebravou 1	Bánovce nad Bebravou
Andreja Hlinku	957 01	Bánovce nad Bebravou 1	Bánovce nad Bebravou
Andreja Kmeťa	957 01	Bánovce nad Bebravou 1	Bánovce nad Bebravou
Bernolákova	957 01	Bánovce nad Bebravou 1	Bánovce nad Bebravou
Cibislavská	957 01	Bánovce nad Bebravou 1	Bánovce nad Bebravou
Cintorínska	957 01	Bánovce nad Bebravou 1	Bánovce nad Bebravou
Clementisova	957 01	Bánovce nad Bebravou 1	Bánovce nad Bebravou
Cyrila a Metoda	957 04	Bánovce nad Bebravou 1	Bánovce nad Bebravou
Družstevná	957 01	Bánovce nad Bebravou 1	Bánovce nad Bebravou
Duklianska	957 01	Bánovce nad Bebravou 1	Bánovce nad Bebravou
Farská	957 01	Bánovce nad Bebravou 1	Bánovce nad Bebravou
Ferka Urbánka	957 01	Bánovce nad Bebravou 1	Bánovce nad Bebravou
Gorazdova	957 04	Bánovce nad Bebravou 1	Bánovce nad Bebravou
Hečkova	957 01	Bánovce nad Bebravou 1	Bánovce nad Bebravou
Hollého	957 01	Bánovce nad Bebravou 1	Bánovce nad Bebravou
Hrežďovská	957 01	Bánovce nad Bebravou 1	Bánovce nad Bebravou
Husitská	957 04	Bánovce nad Bebravou 1	Bánovce nad Bebravou
Hviezdoslavova	957 01	Bánovce nad Bebravou 1	Bánovce nad Bebravou
Inovecká	957 01	Bánovce nad Bebravou 1	Bánovce nad Bebravou
Ivana Krasku	957 01	Bánovce nad Bebravou 1	Bánovce nad Bebravou
J. Bottu	957 01	Bánovce nad Bebravou 1	Bánovce nad Bebravou
J. C. Hronského	957 04	Bánovce nad Bebravou 1	Bánovce nad Bebravou
J. G. Tajovského	957 01	Bánovce nad Bebravou 1	Bánovce nad Bebravou
J. Gabora	957 04	Bánovce nad Bebravou 1	Bánovce nad Bebravou
J. Kačku	957 01	Bánovce nad Bebravou 1	Bánovce nad Bebravou
Jahodová	957 01	Bánovce nad Bebravou 1	Bánovce nad Bebravou
Janka Kráľa	957 01	Bánovce nad Bebravou 1	Bánovce nad Bebravou
Janka Matušku	957 01	Bánovce nad Bebravou 1	Bánovce nad Bebravou
Jerichov	957 01	Bánovce nad Bebravou 1	Bánovce nad Bebravou
Jesenského	957 01	Bánovce nad Bebravou 1	Bánovce nad Bebravou
K cintorínu	957 01	Bánovce nad Bebravou 1	Bánovce nad Bebravou
K mlynskému náhonu	957 01	Bánovce nad Bebravou 1	Bánovce nad Bebravou
K nemocnici	957 01	Bánovce nad Bebravou 1	Bánovce nad Bebravou
K priehrade	957 01	Bánovce nad Bebravou 1	Bánovce nad Bebravou
K štadiónu	957 01	Bánovce nad Bebravou 1	Bánovce nad Bebravou
K Zornici	957 01	Bánovce nad Bebravou 1	Bánovce nad Bebravou
Komenského	957 04	Bánovce nad Bebravou 1	Bánovce nad Bebravou
kpt. Jaroša	957 01	Bánovce nad Bebravou 1	Bánovce nad Bebravou
Kraskova	957 01	Bánovce nad Bebravou 1	Bánovce nad Bebravou
Ku splavu	957 01	Bánovce nad Bebravou 1	Bánovce nad Bebravou
Kukučínova	957 04	Bánovce nad Bebravou 1	Bánovce nad Bebravou
Lipová	957 01	Bánovce nad Bebravou 1	Bánovce nad Bebravou
Lúčna	957 04	Bánovce nad Bebravou 1	Bánovce nad Bebravou
Ľudmily Podjavorinskej	957 01	Bánovce nad Bebravou 1	Bánovce nad Bebravou
M. R. Štefánika	957 01	Bánovce nad Bebravou 1	Bánovce nad Bebravou
Matice Slovenskej	957 04	Bánovce nad Bebravou 1	Bánovce nad Bebravou
Matušku	957 01	Bánovce nad Bebravou 1	Bánovce nad Bebravou
Mila Urbana	957 01	Bánovce nad Bebravou 1	Bánovce nad Bebravou
Mlynská	957 01	Bánovce nad Bebravou 1	Bánovce nad Bebravou
Mojmírova	957 04	Bánovce nad Bebravou 1	Bánovce nad Bebravou
Moyzesova	957 01	Bánovce nad Bebravou 1	Bánovce nad Bebravou
Murgašova	957 01	Bánovce nad Bebravou 1	Bánovce nad Bebravou
Na Vrštek	957 01	Bánovce nad Bebravou 1	Bánovce nad Bebravou
Nám. Ľ. Štúra	957 01	Bánovce nad Bebravou 1	Bánovce nad Bebravou
Novomeského	957 04	Bánovce nad Bebravou 1	Bánovce nad Bebravou
Ozorovská hlavná	957 01	Bánovce nad Bebravou 1	Bánovce nad Bebravou
Ozorovská nová	957 01	Bánovce nad Bebravou 1	Bánovce nad Bebravou
Palkovičova	957 01	Bánovce nad Bebravou 1	Bánovce nad Bebravou
Partizánska	957 01	Bánovce nad Bebravou 1	Bánovce nad Bebravou
Pažiť	957 01	Bánovce nad Bebravou 1	Bánovce nad Bebravou
Potočná	957 01	Bánovce nad Bebravou 1	Bánovce nad Bebravou
Pribinova	957 01	Bánovce nad Bebravou 1	Bánovce nad Bebravou
Radlinského	957 01	Bánovce nad Bebravou 1	Bánovce nad Bebravou
Radová	957 01	Bánovce nad Bebravou 1	Bánovce nad Bebravou
Rastislavova	957 04	Bánovce nad Bebravou 1	Bánovce nad Bebravou
Rezáková	957 01	Bánovce nad Bebravou 1	Bánovce nad Bebravou
Rokošská	957 01	Bánovce nad Bebravou 1	Bánovce nad Bebravou
Rumunská	957 01	Bánovce nad Bebravou 1	Bánovce nad Bebravou
Sasinkova	957 01	Bánovce nad Bebravou 1	Bánovce nad Bebravou
Sládkovičova	957 01	Bánovce nad Bebravou 1	Bánovce nad Bebravou
Slatinská	957 04	Bánovce nad Bebravou 1	Bánovce nad Bebravou
SNP	957 01	Bánovce nad Bebravou 1	Bánovce nad Bebravou
Strážovská	957 01	Bánovce nad Bebravou 1	Bánovce nad Bebravou
Stromová	957 01	Bánovce nad Bebravou 1	Bánovce nad Bebravou
Svätoplukova	957 04	Bánovce nad Bebravou 1	Bánovce nad Bebravou
Školská	957 01	Bánovce nad Bebravou 1	Bánovce nad Bebravou
Tajovského	957 01	Bánovce nad Bebravou 1	Bánovce nad Bebravou
Textilná	957 01	Bánovce nad Bebravou 1	Bánovce nad Bebravou
Topoľová	957 01	Bánovce nad Bebravou 1	Bánovce nad Bebravou
Trenčianska cesta	957 01	Bánovce nad Bebravou 1	Bánovce nad Bebravou
Tržnica	957 01	Bánovce nad Bebravou 1	Bánovce nad Bebravou
Vajanského nábr.	957 01	Bánovce nad Bebravou 1	Bánovce nad Bebravou
Vodná nádrž	957 01	Bánovce nad Bebravou 1	Bánovce nad Bebravou
Vystrkov	957 01	Bánovce nad Bebravou 1	Bánovce nad Bebravou
Za kaštieľom	957 01	Bánovce nad Bebravou 1	Bánovce nad Bebravou
Za valy	957 01	Bánovce nad Bebravou 1	Bánovce nad Bebravou
Záfortňa	957 01	Bánovce nad Bebravou 1	Bánovce nad Bebravou
Žitná	957 04	Bánovce nad Bebravou 1	Bánovce nad Bebravou
Bánovce nad Ondavou	072 05	Bracovce	Bánovce nad Ondavou
Bánovce nad Ondavou	072 04	Trhovište	Bánovce nad Ondavou
Bánovce nad Ondavou	072 04	Trhovište	Bánovce nad Ondavou
29.augusta	974 01	Banská Bystrica 1	Banská Bystrica
9.mája	974 01	Banská Bystrica 1	Banská Bystrica
Agátová	974 11	Banská Bystrica 11	Banská Bystrica
Achátová	974 05	Banská Bystrica 5	Banská Bystrica
Akvamarínová	974 05	Banská Bystrica 5	Banská Bystrica
Alexandra Matušku	974 01	Banská Bystrica 1	Banská Bystrica
Ametystová	974 05	Banská Bystrica 5	Banská Bystrica
Astrová	974 01	Banská Bystrica 1	Banská Bystrica
Azalková	974 01	Banská Bystrica 1	Banská Bystrica
Bagarova	974 04	Banská Bystrica 4	Banská Bystrica
Bakossova	974 01	Banská Bystrica 1	Banská Bystrica
Banícka	974 05	Banská Bystrica 5	Banská Bystrica
Bazová	974 05	Banská Bystrica 5	Banská Bystrica
Bellušova	974 01	Banská Bystrica 1	Banská Bystrica
Bernolákova	974 05	Banská Bystrica 5	Banská Bystrica
Beskydská	974 11	Banská Bystrica 11	Banská Bystrica
Bočná	974 05	Banská Bystrica 5	Banská Bystrica
Borievková	974 05	Banská Bystrica 5	Banská Bystrica
Borovicová	974 05	Banská Bystrica 5	Banská Bystrica
Boženy Němcovej	974 01	Banská Bystrica 1	Banská Bystrica
Brestová	974 05	Banská Bystrica 5	Banská Bystrica
Brezová	974 05	Banská Bystrica 5	Banská Bystrica
Bronzová	974 05	Banská Bystrica 5	Banská Bystrica
Bučinová	974 05	Banská Bystrica 5	Banská Bystrica
Buková	974 09	Banská Bystrica 9	Banská Bystrica
Cementárenská cesta	974 01	Banská Bystrica 1	Banská Bystrica
Cesta k nemocnici	974 01	Banská Bystrica 1	Banská Bystrica
Cesta k Smrečine	974 01	Banská Bystrica 1	Banská Bystrica
Cesta na amfiteáter	974 01	Banská Bystrica 1	Banská Bystrica
Cesta na štadión	974 04	Banská Bystrica 4	Banská Bystrica
Cintorínska	974 05	Banská Bystrica 5	Banská Bystrica
Cmárovo	974 01	Banská Bystrica 1	Banská Bystrica
Čerešňová	974 05	Banská Bystrica 5	Banská Bystrica
Československej armády	974 01	Banská Bystrica 1	Banská Bystrica
Dedinská	974 11	Banská Bystrica 11	Banská Bystrica
Diamantová ulica	974 05	Banská Bystrica 5	Banská Bystrica
Dlhá ulica	974 05	Banská Bystrica 5	Banská Bystrica
Dobšinského	974 01	Banská Bystrica 1	Banská Bystrica
Dolná	974 01	Banská Bystrica 1	Banská Bystrica
