Ábelová,Lučenec,Banskobystrický,231
Abovce,Rimavská Sobota,Banskobystrický,617
Abrahám,Galanta,Trnavský,"1,078"
Abrahámovce / okres Bardejov,Bardejov,Prešovský,370
Abrahámovce / okres kezmarok,Kežmarok,Prešovský,233
Abramová,Turčianske Teplice,Žilinský,148
Abranovce,Prešov,Prešovský,587
Adamovské Kochanovce,Trenčín,Trenčiansky,820
Adidovce,Humenné,Prešovský,224
Alekšince,Nitra,Nitriansky,"1,7"
Andovce,Nové Zámky,Nitriansky,"1,292"
Andrejová,Bardejov,Prešovský,334
Ardanovce,Topoľčany,Nitriansky,239
Ardovo,Rožňava,Košický,168
Arnutovce,Spišská Nová Ves,Košický,627
Báb,Nitra,Nitriansky,981
Babie,Vranov nad Topľou,Prešovský,258
Babín,Námestovo,Žilinský,"1,411"
Babiná,Zvolen,Banskobystrický,462
Babindol,Nitra,Nitriansky,664
Babinec,Rimavská Sobota,Banskobystrický,75
Bacúch,Brezno,Banskobystrický,"1,024"
Bacúrov,Zvolen,Banskobystrický,150
Báč,Dunajská Streda,Trnavský,548
Bačka,Trebišov,Košický,630
Bačkov,Trebišov,Košický,624
Bačkovík,Košice - okolie,Košický,432
Baďan,Banská Štiavnica,Banskobystrický,217
Bádice,Nitra,Nitriansky,342
Badín,Banská Bystrica,Banskobystrický,"1,755"
Báhoň,Pezinok,Bratislavský,"1,74"
Bajany,Michalovce,Košický,504
Bajč,Komárno,Nitriansky,"1,219"
Bajerov,Prešov,Prešovský,445
Bajerovce,Sabinov,Prešovský,306
Bajka,Levice,Nitriansky,352
Bajtava,Nové Zámky,Nitriansky,383
Baka,Dunajská Streda,Trnavský,"1,126"
Baláže,Banská Bystrica,Banskobystrický,197
Baldovce,Levoča,Prešovský,204
Balog nad Ipľom,Veľký Krtíš,Banskobystrický,860
Baloň,Dunajská Streda,Trnavský,758
Baňa,Stropkov,Prešovský,183
Banka,Piešťany,Trnavský,"2,174"
Bánov,Nové Zámky,Nitriansky,"3,762"
Bánovce nad Bebravou,Bánovce nad Bebravou,Trenčiansky,"20,592"
Bánovce nad Ondavou,Michalovce,Košický,737
Banská Belá,Banská Štiavnica,Banskobystrický,"1,244"
